gamingresort,casinocode,departingat,arrivingat,departingairport
HARRAH'S ATLANTIC CITY NJ,ATL,12/5/2022,12/8/2022,DTW
TROPICANA ATLANTIC CITY,TAC,12/5/2022,12/8/2022,DTW
HARVEYS LAKE TAHOE NV,HLT,12/5/2022,12/9/2022,STL
HARRAHS LAKE TAHOE NV,TAH,12/5/2022,12/9/2022,STL
SILVER LEGACY RENO NV,TRW,12/5/2022,12/9/2022,STL
HARRAH'S GULF COAST BILOXI MS,GBI,12/5/2022,12/8/2022,CAK
HARRAH'S LAUGHLIN NV,LAU,12/5/2022,12/9/2022,GGG
HARRAH'S LAUGHLIN NV,LAU,12/5/2022,12/9/2022,ABQ
HARVEYS LAKE TAHOE NV,HLT,12/5/2022,12/9/2022,BOI
HARVEYS LAKE TAHOE NV,HLT,12/5/2022,12/9/2022,EUG
HARVEYS LAKE TAHOE NV,HLT,12/5/2022,12/9/2022,ONT
HARVEYS LAKE TAHOE NV,HLT,12/5/2022,12/9/2022,PSP
HARVEYS LAKE TAHOE NV,HLT,12/5/2022,12/9/2022,PSC
HARVEYS LAKE TAHOE NV,HLT,12/5/2022,12/9/2022,GEG
HARRAHS LAKE TAHOE NV,TAH,12/5/2022,12/9/2022,BOI
HARRAHS LAKE TAHOE NV,TAH,12/5/2022,12/9/2022,EUG
HARRAHS LAKE TAHOE NV,TAH,12/5/2022,12/9/2022,ONT
HARRAHS LAKE TAHOE NV,TAH,12/5/2022,12/9/2022,PSP
HARRAHS LAKE TAHOE NV,TAH,12/5/2022,12/9/2022,PSC
HARRAHS LAKE TAHOE NV,TAH,12/5/2022,12/9/2022,GEG
SILVER LEGACY RENO NV,TRW,12/5/2022,12/9/2022,BOI
SILVER LEGACY RENO NV,TRW,12/5/2022,12/9/2022,EUG
SILVER LEGACY RENO NV,TRW,12/5/2022,12/9/2022,ONT
SILVER LEGACY RENO NV,TRW,12/5/2022,12/9/2022,PSP
SILVER LEGACY RENO NV,TRW,12/5/2022,12/9/2022,PSC
SILVER LEGACY RENO NV,TRW,12/5/2022,12/9/2022,GEG
HARRAH'S LAUGHLIN NV,LAU,12/6/2022,12/10/2022,CWA
HARRAH'S LAUGHLIN NV,LAU,12/6/2022,12/10/2022,EAU
HARRAH'S GULF COAST BILOXI MS,GBI,12/6/2022,12/9/2022,LEX
HARRAH'S GULF COAST BILOXI MS,GBI,12/6/2022,12/9/2022,BNA
HARVEYS LAKE TAHOE NV,HLT,12/6/2022,12/9/2022,LGB
HARRAHS LAKE TAHOE NV,TAH,12/6/2022,12/9/2022,LGB
SILVER LEGACY RENO NV,TRW,12/6/2022,12/9/2022,LGB
HARVEYS LAKE TAHOE NV,HLT,12/6/2022,12/11/2022,ATL
HARVEYS LAKE TAHOE NV,HLT,12/6/2022,12/11/2022,MSY
HARRAHS LAKE TAHOE NV,TAH,12/6/2022,12/11/2022,ATL
HARRAHS LAKE TAHOE NV,TAH,12/6/2022,12/11/2022,MSY
SILVER LEGACY RENO NV,TRW,12/6/2022,12/11/2022,ATL
SILVER LEGACY RENO NV,TRW,12/6/2022,12/11/2022,MSY
HARVEYS LAKE TAHOE NV,HLT,12/7/2022,12/12/2022,CLT
HARVEYS LAKE TAHOE NV,HLT,12/7/2022,12/12/2022,BNA
HARVEYS LAKE TAHOE NV,HLT,12/7/2022,12/12/2022,PHL
HARVEYS LAKE TAHOE NV,HLT,12/7/2022,12/12/2022,TPA
HARRAHS LAKE TAHOE NV,TAH,12/7/2022,12/12/2022,CLT
HARRAHS LAKE TAHOE NV,TAH,12/7/2022,12/12/2022,BNA
HARRAHS LAKE TAHOE NV,TAH,12/7/2022,12/12/2022,PHL
HARRAHS LAKE TAHOE NV,TAH,12/7/2022,12/12/2022,TPA
SILVER LEGACY RENO NV,TRW,12/7/2022,12/12/2022,CLT
SILVER LEGACY RENO NV,TRW,12/7/2022,12/12/2022,BNA
SILVER LEGACY RENO NV,TRW,12/7/2022,12/12/2022,PHL
SILVER LEGACY RENO NV,TRW,12/7/2022,12/12/2022,TPA
HARVEYS LAKE TAHOE NV,HLT,12/8/2022,12/11/2022,IDA
HARVEYS LAKE TAHOE NV,HLT,12/8/2022,12/11/2022,OAK
HARVEYS LAKE TAHOE NV,HLT,12/8/2022,12/11/2022,STS
HARVEYS LAKE TAHOE NV,HLT,12/8/2022,12/13/2022,BOS
HARVEYS LAKE TAHOE NV,HLT,12/8/2022,12/13/2022,BUF
HARVEYS LAKE TAHOE NV,HLT,12/8/2022,12/13/2022,IND
HARVEYS LAKE TAHOE NV,HLT,12/8/2022,12/13/2022,MCI
HARVEYS LAKE TAHOE NV,HLT,12/8/2022,12/13/2022,EWR
HARVEYS LAKE TAHOE NV,HLT,12/8/2022,12/13/2022,RDU
HARRAHS LAKE TAHOE NV,TAH,12/8/2022,12/11/2022,IDA
HARRAHS LAKE TAHOE NV,TAH,12/8/2022,12/11/2022,OAK
HARRAHS LAKE TAHOE NV,TAH,12/8/2022,12/11/2022,STS
HARRAHS LAKE TAHOE NV,TAH,12/8/2022,12/13/2022,BOS
HARRAHS LAKE TAHOE NV,TAH,12/8/2022,12/13/2022,BUF
HARRAHS LAKE TAHOE NV,TAH,12/8/2022,12/13/2022,IND
HARRAHS LAKE TAHOE NV,TAH,12/8/2022,12/13/2022,MCI
HARRAHS LAKE TAHOE NV,TAH,12/8/2022,12/13/2022,EWR
HARRAHS LAKE TAHOE NV,TAH,12/8/2022,12/13/2022,RDU
SILVER LEGACY RENO NV,TRW,12/8/2022,12/11/2022,IDA
SILVER LEGACY RENO NV,TRW,12/8/2022,12/11/2022,OAK
SILVER LEGACY RENO NV,TRW,12/8/2022,12/11/2022,STS
SILVER LEGACY RENO NV,TRW,12/8/2022,12/13/2022,BOS
SILVER LEGACY RENO NV,TRW,12/8/2022,12/13/2022,BUF
SILVER LEGACY RENO NV,TRW,12/8/2022,12/13/2022,IND
SILVER LEGACY RENO NV,TRW,12/8/2022,12/13/2022,MCI
