gamingresort,casinocode,departingat,arrivingat,departingairport
HARRAH'S ATLANTIC CITY NJ,ATL,7/25/2002,7/28/2022,CHA
HARRAH'S ATLANTIC CITY NJ,ATL,7/26/2022,7/29/2022,ALB
HARRAH'S ATLANTIC CITY NJ,ATL,7/26/2022,7/29/2022,BDL
HARRAH'S ATLANTIC CITY NJ,ATL,7/28/2022,7/31/2022,FAY
HARRAH'S ATLANTIC CITY NJ,ATL,7/28/2022,7/31/2022,ILM
HARRAH'S ATLANTIC CITY NJ,ATL,7/29/2022,8/1/2022,LBE
HARRAH'S ATLANTIC CITY NJ,ATL,8/1/2022,8/4/2022,CHS
HARRAH'S ATLANTIC CITY NJ,ATL,8/1/2022,8/4/2022,MYR
HARRAH'S ATLANTIC CITY NJ,ATL,8/3/2022,8/6/2022,YYZ
HARRAH'S ATLANTIC CITY NJ,ATL,8/4/2022,8/7/2022,PGV
HARRAH'S ATLANTIC CITY NJ,ATL,8/6/2022,8/9/2022,PIT
HARRAH'S ATLANTIC CITY NJ,ATL,8/7/2022,8/10/2022,ROC
HARRAH'S ATLANTIC CITY NJ,ATL,8/7/2022,8/10/2022,SYR
HARRAH'S ATLANTIC CITY NJ,ATL,8/9/2022,8/12/2022,AGS
HARRAH'S ATLANTIC CITY NJ,ATL,8/9/2022,8/12/2022,MCN
HARRAH'S ATLANTIC CITY NJ,ATL,8/10/2022,8/13/2022,BUF
HARRAH'S ATLANTIC CITY NJ,ATL,8/13/2022,8/16/2022,SFB
HARRAH'S ATLANTIC CITY NJ,ATL,8/15/2022,8/18/2022,ISP
HARRAH'S ATLANTIC CITY NJ,ATL,8/15/2022,8/18/2022,PVD
HARRAH'S ATLANTIC CITY NJ,ATL,8/16/2022,8/19/2022,GSO
HARRAH'S ATLANTIC CITY NJ,ATL,8/18/2022,8/21/2022,FAY
HARRAH'S ATLANTIC CITY NJ,ATL,8/19/2022,8/22/2022,BOS
HARRAH'S ATLANTIC CITY NJ,ATL,8/21/2022,8/24/2022,JAX
